date,time_slot,flow_id,source_node,source_asset_id,target_node,target_asset_id,flow_kwh,flow_type,notes
2026-05-06,00:00,F2026050600000001,發電端,G1,合約數量,,0.477,generation_contract,G1 1.336kWh 時段占比
2026-05-06,00:00,F2026050600000002,發電端,G2,合約數量,,0.35,generation_contract,G2 0.979kWh 時段占比
2026-05-06,00:00,F2026050600000003,發電端,G3,合約數量,,0.286,generation_contract,G3 0.801kWh 時段占比
2026-05-06,00:00,F2026050600000004,發電端,G4,合約數量,,0.254,generation_contract,G4 0.712kWh 時段占比
2026-05-06,00:00,F2026050600000005,發電端,G5,合約數量,,0.222,generation_contract,G5 0.624kWh 時段占比
2026-05-06,00:00,F2026050600000006,發電端,G1,儲能,,0.107,generation_storage,G1 1.336kWh 時段占比
2026-05-06,00:00,F2026050600000007,發電端,G2,儲能,,0.078,generation_storage,G2 0.979kWh 時段占比
2026-05-06,00:00,F2026050600000008,發電端,G3,儲能,,0.064,generation_storage,G3 0.801kWh 時段占比
2026-05-06,00:00,F2026050600000009,發電端,G4,儲能,,0.057,generation_storage,G4 0.712kWh 時段占比
2026-05-06,00:00,F2026050600000010,發電端,G5,儲能,,0.05,generation_storage,G5 0.624kWh 時段占比
2026-05-06,00:00,F2026050600000011,發電端,G1,餘電,,0.821,generation_surplus,G1 1.336kWh 時段占比
2026-05-06,00:00,F2026050600000012,發電端,G2,餘電,,0.602,generation_surplus,G2 0.979kWh 時段占比
2026-05-06,00:00,F2026050600000013,發電端,G3,餘電,,0.493,generation_surplus,G3 0.801kWh 時段占比
2026-05-06,00:00,F2026050600000014,發電端,G4,餘電,,0.438,generation_surplus,G4 0.712kWh 時段占比
2026-05-06,00:00,F2026050600000015,發電端,G5,餘電,,0.384,generation_surplus,G5 0.624kWh 時段占比
2026-05-06,00:00,F2026050600000016,儲能餘額,,儲能,,0.72,balance_storage,節點彙總流量
2026-05-06,00:00,F2026050600000017,合約數量,,用電端,L1,0.445,contract_load,L1 負載 3.685kWh 時段占比
2026-05-06,00:00,F2026050600000018,合約數量,,用電端,L2,0.381,contract_load,L2 負載 3.158kWh 時段占比
2026-05-06,00:00,F2026050600000019,合約數量,,用電端,L3,0.318,contract_load,L3 負載 2.632kWh 時段占比
2026-05-06,00:00,F2026050600000020,合約數量,,用電端,L4,0.254,contract_load,L4 負載 2.106kWh 時段占比
2026-05-06,00:00,F2026050600000021,合約數量,,用電端,L5,0.191,contract_load,L5 負載 1.579kWh 時段占比
2026-05-06,00:00,F2026050600000022,用電端,,成功匹配量,L1,0.314,load_success,L1 負載 3.685kWh 時段占比
2026-05-06,00:00,F2026050600000023,用電端,,成功匹配量,L2,0.269,load_success,L2 負載 3.158kWh 時段占比
2026-05-06,00:00,F2026050600000024,用電端,,成功匹配量,L3,0.224,load_success,L3 負載 2.632kWh 時段占比
2026-05-06,00:00,F2026050600000025,用電端,,成功匹配量,L4,0.18,load_success,L4 負載 2.106kWh 時段占比
2026-05-06,00:00,F2026050600000026,用電端,,成功匹配量,L5,0.135,load_success,L5 負載 1.579kWh 時段占比
2026-05-06,00:00,F2026050600000027,用電端,,餘電,,12.038,load_surplus,節點彙總流量
2026-05-06,00:15,F2026050600150028,發電端,G1,合約數量,,0.433,generation_contract,G1 1.212kWh 時段占比
2026-05-06,00:15,F2026050600150029,發電端,G2,合約數量,,0.317,generation_contract,G2 0.889kWh 時段占比
2026-05-06,00:15,F2026050600150030,發電端,G3,合約數量,,0.26,generation_contract,G3 0.727kWh 時段占比
2026-05-06,00:15,F2026050600150031,發電端,G4,合約數量,,0.231,generation_contract,G4 0.646kWh 時段占比
2026-05-06,00:15,F2026050600150032,發電端,G5,合約數量,,0.201,generation_contract,G5 0.565kWh 時段占比
2026-05-06,00:15,F2026050600150033,發電端,G1,儲能,,0.097,generation_storage,G1 1.212kWh 時段占比
2026-05-06,00:15,F2026050600150034,發電端,G2,儲能,,0.071,generation_storage,G2 0.889kWh 時段占比
2026-05-06,00:15,F2026050600150035,發電端,G3,儲能,,0.058,generation_storage,G3 0.727kWh 時段占比
2026-05-06,00:15,F2026050600150036,發電端,G4,儲能,,0.052,generation_storage,G4 0.646kWh 時段占比
2026-05-06,00:15,F2026050600150037,發電端,G5,儲能,,0.045,generation_storage,G5 0.565kWh 時段占比
2026-05-06,00:15,F2026050600150038,發電端,G1,餘電,,0.745,generation_surplus,G1 1.212kWh 時段占比
2026-05-06,00:15,F2026050600150039,發電端,G2,餘電,,0.546,generation_surplus,G2 0.889kWh 時段占比
2026-05-06,00:15,F2026050600150040,發電端,G3,餘電,,0.447,generation_surplus,G3 0.727kWh 時段占比
2026-05-06,00:15,F2026050600150041,發電端,G4,餘電,,0.397,generation_surplus,G4 0.646kWh 時段占比
2026-05-06,00:15,F2026050600150042,發電端,G5,餘電,,0.349,generation_surplus,G5 0.565kWh 時段占比
2026-05-06,00:15,F2026050600150043,儲能餘額,,儲能,,0.72,balance_storage,節點彙總流量
2026-05-06,00:15,F2026050600150044,合約數量,,用電端,L1,0.404,contract_load,L1 負載 3.343kWh 時段占比
2026-05-06,00:15,F2026050600150045,合約數量,,用電端,L2,0.346,contract_load,L2 負載 2.865kWh 時段占比
2026-05-06,00:15,F2026050600150046,合約數量,,用電端,L3,0.288,contract_load,L3 負載 2.388kWh 時段占比
2026-05-06,00:15,F2026050600150047,合約數量,,用電端,L4,0.231,contract_load,L4 負載 1.91kWh 時段占比
2026-05-06,00:15,F2026050600150048,合約數量,,用電端,L5,0.173,contract_load,L5 負載 1.432kWh 時段占比
2026-05-06,00:15,F2026050600150049,用電端,,成功匹配量,L1,0.285,load_success,L1 負載 3.343kWh 時段占比
2026-05-06,00:15,F2026050600150050,用電端,,成功匹配量,L2,0.244,load_success,L2 負載 2.865kWh 時段占比
2026-05-06,00:15,F2026050600150051,用電端,,成功匹配量,L3,0.204,load_success,L3 負載 2.388kWh 時段占比
2026-05-06,00:15,F2026050600150052,用電端,,成功匹配量,L4,0.163,load_success,L4 負載 1.91kWh 時段占比
2026-05-06,00:15,F2026050600150053,用電端,,成功匹配量,L5,0.122,load_success,L5 負載 1.432kWh 時段占比
2026-05-06,00:15,F2026050600150054,用電端,,餘電,,10.92,load_surplus,節點彙總流量
2026-05-06,00:30,F2026050600300055,發電端,G1,合約數量,,0.46,generation_contract,G1 1.288kWh 時段占比
2026-05-06,00:30,F2026050600300056,發電端,G2,合約數量,,0.337,generation_contract,G2 0.944kWh 時段占比
2026-05-06,00:30,F2026050600300057,發電端,G3,合約數量,,0.276,generation_contract,G3 0.773kWh 時段占比
2026-05-06,00:30,F2026050600300058,發電端,G4,合約數量,,0.245,generation_contract,G4 0.687kWh 時段占比
